,bitscore,annotation
CP008889.1|no_gene_name|tblastn_CasPedia,272.4,cas12f
MK005748.1|no_gene_name|tblastn_CasPedia,1077.6,cas12f
AP018203.1|no_gene_name|tblastn_CasPedia,923.5,cas12j
CP092419.1|no_gene_name|tblastn_CasPedia,923.5,cas12j
AP014638.1|no_gene_name|tblastn_CasPedia,923.5,cas12j
AP014642.1|no_gene_name|tblastn_CasPedia,923.5,cas12j
AP017375.1|no_gene_name|tblastn_CasPedia,720.6,cas12k
CP109461.1|no_gene_name|tblastn_CasPedia,76.5,cas12f
CP109455.1|no_gene_name|tblastn_CasPedia,76.5,cas12f
CP010070.1|no_gene_name|tblastn_CasPedia,1404.3,cas12a
CP054919.1|no_gene_name|tblastn_CasPedia,701.8,cas12f
no_accession_number5|Cas12k|tblastn_CasPedia,1194.6,cas12a
AP014821.1|no_gene_name|tblastn_CasPedia,854.4,cas12j
AP014815.1|no_gene_name|tblastn_CasPedia,877.7,cas12j
CP103977.1|no_gene_name|tblastn_CasPedia,452.2,cas12f
CP037830.1|no_gene_name|tblastn_CasPedia,452.8,cas12f
CP103798.1|no_gene_name|tblastn_CasPedia,454.4,cas12f
CP103801.1|no_gene_name|tblastn_CasPedia,454.4,cas12f
CP016105.1|no_gene_name|tblastn_CasPedia,456.1,cas12f
CP166621.1|no_gene_name|tblastn_CasPedia,929.8,cas12j
CP063816.1|no_gene_name|tblastn_CasPedia,494.4,cas12f
CP029458.1|no_gene_name|tblastn_CasPedia,494.5,cas12f
MK005749.1|no_gene_name|tblastn_CasPedia,389.4,cas12f
CP080467.1|no_gene_name|tblastn_CasPedia,1445.6,cas12b
no_accession_number6|Cas12k|tblastn_CasPedia,2112.8,cas12e
CP003261.1|no_gene_name|tblastn_CasPedia,462.0,cas12f
ON312847.1|no_gene_name|tblastn_CasPedia,972.1,cas12j
CP135918.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP025074.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
BK057366.1|no_gene_name|tblastn_CasPedia,464.6,cas12f
CP010111.1|no_gene_name|tblastn_CasPedia,579.7,cas12f
CP130336.1|no_gene_name|tblastn_CasPedia,582.4,cas12f
CP139119.1|no_gene_name|tblastn_CasPedia,586.4,cas12f
CP093425.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP040343.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP093422.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP086329.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP099451.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP041978.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP041980.1|no_gene_name|tblastn_CasPedia,584.3,cas12f
CP109873.2|no_gene_name|tblastn_CasPedia,585.2,cas12f
CP009299.1|no_gene_name|tblastn_CasPedia,586.5,cas12f
CP033789.1|no_gene_name|tblastn_CasPedia,586.5,cas12f
CP053930.1|no_gene_name|tblastn_CasPedia,586.5,cas12f
AP024505.1|no_gene_name|tblastn_CasPedia,586.5,cas12f
CP113366.1|no_gene_name|tblastn_CasPedia,583.8,cas12f
