,bitscore,annotation,cassette_id
AP019780|Cas12f|NCBI,457.5,cas8b,1
CP083869|Cas12b|NCBI,541.1,cas3,1
CP020426|Cas12f|NCBI,115.5,cas12f,1
CP013652|Cas12f|NCBI,537.3,cas8c,1
CP019225|Cas12f|NCBI,819.9,cas12j,1
CP131610|Cas12a|NCBI,221.4,cas12n,1
BK056799|Cas12f|NCBI,233.8,cas12f,1
CP032905|Cas12f|NCBI,208.4,cas12n,1
CP013336|Cas12f|NCBI,682.9,cas10,1
CP021445|Cas12a|NCBI,663.7,cas8b,1
CP098710|Cas12b|NCBI,266.8,cas12n,1
CP056355|Cas12b|NCBI,284.6,cas12f,1
CP051128|Cas12f|NCBI,178.9,DinG,1
CP074675|Cas12f|NCBI,441.1,cas3,1
CP065643|Cas12f|NCBI,521.6,cas8c,1
CP011456|Cas12f|NCBI,1395.7,cas10d,1
AP026075|Cas12a|NCBI,136.4,cas12j,1
CP123029|Cas12b|NCBI,381.4,cas1,1
CP071098|Cas12a|NCBI,897.9,cas8b,1
AE000512|Cas12f|NCBI,776.5,cas10,1
AP018288|Cas12f|NCBI,1203.8,cas12k,1
CP075022|Cas12b|NCBI,593.4,cas8,1
CP007062|Cas12f|NCBI,564.9,cas8b,1
CP098714|Cas12b|NCBI,266.8,cas12n,1
CP084647|Cas12b|NCBI,266.8,cas12n,1
AP019189|Cas12b|NCBI,478.3,cas8,1
CP033250|Cas12b|NCBI,610.6,cas8,1
CP073968|Cas12b|NCBI,610.6,cas8,1
CP014342|Cas12a|NCBI,464.9,cas8b,1
CP042908|Cas12f|NCBI,626.7,cas10,1
CP098691|Cas12b|NCBI,266.8,cas12n,1
CP104526|Cas12b|NCBI,284.6,cas12f,1
CP003723|Cas12f|NCBI,485.7,cas8b,1
CP003284|Cas12a|NCBI,422.8,cas12f,1
CP039437|Cas12b|NCBI,587.3,cas8,1
CP000969|Cas12f|NCBI,1198.6,cas10,1
LS483488|Cas12f|NCBI,212.2,cas12f,1
CP023184|Cas12b|NCBI,266.8,cas12n,1
BA000019|Cas12a|NCBI,1385.0,cas10d,1
CP012024|Cas12f|NCBI,436.2,cas1,1
CP119968|Cas12f|NCBI,1118.3,cas10d,1
CP040281|Cas12f|NCBI,1241.0,cas10d,1
CP011108|Cas12f|NCBI,776.5,cas10,1
CP128459|Cas12f|NCBI,374.0,cas7,1
CP019636|Cas12f|NCBI,1359.0,cas10d,1
AP028837|Cas12a|NCBI,610.2,cas8,1
CP126297|Cas12b|NCBI,541.1,cas3,1
OV696605|Cas12a|NCBI,760.1,cas7,1
CP009514|Cas12f|NCBI,722.4,cas8a,1
CP051162|Cas12a|NCBI,614.1,cas9,1
LR890288|Cas12b|NCBI,609.1,cas8,1
CP001600|Cas12a|NCBI,292.3,cas12f,1
CP010436|Cas12f|NCBI,212.0,cas12f,1
AP025732|Cas12a|NCBI,1111.2,cas10d,1
CP009530|Cas12f|NCBI,447.9,cas8b,1
CP020466|Cas12a|NCBI,182.3,cas12n,1
CP016106|Cas12a|NCBI,655.7,cas8b,1
CP117825|Cas12f|NCBI,545.9,cas8b,1
CP123036|Cas12b|NCBI,381.4,cas1,1
BK024772|Cas12f|NCBI,246.0,cas12n,1
CP045913|Cas12a|NCBI,292.8,cas12f,1
AP018178|Cas12f|NCBI,1057.0,cas12k,1
CP133815|Cas12f|NCBI,662.8,cas8b,1
LR135169|Cas12a|NCBI,219.0,cas12n,1
CP024698|Cas12a|NCBI,641.5,cas9,1
CP084637|Cas12b|NCBI,266.8,cas12n,1
CP084642|Cas12b|NCBI,266.8,cas12n,1
CP100500|Cas12b|NCBI,609.4,cas8,1
CP092014|Cas12b|NCBI,291.2,cas12f,1
CP075731|Cas12b|NCBI,286.9,cas12f,1
CP061470|Cas12f|NCBI,266.4,cas10,1
CP040553|Cas12a|NCBI,479.5,cas8b,1
OY762011|Cas12f|NCBI,449.4,cas1,1
OY762512|Cas12a|NCBI,345.8,cas12f,1
CP007013|Cas12f|NCBI,776.5,cas10,1
CP089942|Cas12f|NCBI,288.9,cas12f,1
CP077702|Cas12f|NCBI,441.1,cas3,1
CP057167|Cas12b|NCBI,610.6,cas8,1
CP014944|Cas12b|NCBI,541.8,cas10,1
CP137705|Cas12b|NCBI,541.1,cas3,1
CP032913|Cas12f|NCBI,215.7,cas12n,1
CP037968|Cas12f|NCBI,416.7,cas10,1
CP013970|Cas12f|NCBI,288.9,cas12f,1
AP028119|Cas12a|NCBI,292.3,cas12f,1
CP129431|Cas12f|NCBI,492.3,cas12f,1
CP061476|Cas12f|NCBI,474.7,cas8b,1
CP063162|Cas12a|NCBI,489.4,cas1,1
CP027520|Cas12b|NCBI,605.4,cas8,1
CP040443|Cas12a|NCBI,1225.0,cas3,1
AP023042|Cas12f|NCBI,214.0,cas12n,1
AP019860|Cas12f|NCBI,102.5,cas12f,1
OY282386|Cas12f|NCBI,245.0,cas5,1
CP099808|Cas12b|NCBI,266.8,cas12n,1
CP066022|Cas12f|NCBI,903.3,cas8b,1
CP068114|Cas12a|NCBI,904.9,cas8b,1
CP037801|Cas12f|NCBI,662.8,cas8b,1
AP018184|Cas12b|NCBI,923.1,cas12j,1
CP037802|Cas12f|NCBI,664.8,cas8b,1
CP047158|Cas12f|NCBI,885.6,cas8b,1
CP000240|Cas12f|NCBI,560.9,cas5,1
CP027376|Cas12f|NCBI,536.2,cas8,1
